,state,candidate,votes,vote_pct,count,sing_spons,prim_order
2,CA,Hillary Clinton,1940580,0.563692278,508,seagreen,9
6,CO,Hillary Clinton,49256,0.406456298,1212,seagreen,11
9,FL,Hillary Clinton,1097400,0.659494003,376,seagreen,4
16,IA,Hillary Clinton,69733,0.498164023,10595,seagreen,12
24,MA,Hillary Clinton,603784,0.503719178,632,seagreen,2
30,NC,Hillary Clinton,616383,0.572474758,889,seagreen,5
37,NH,Hillary Clinton,95252,0.385891847,3303,seagreen,1
44,NV,Hillary Clinton,6296,0.527435704,4279,seagreen,13
50,NY,Hillary Clinton,1054083,0.579946543,666,seagreen,7
55,OH,Hillary Clinton,679266,0.56946467,1665,seagreen,6
61,PA,Hillary Clinton,918689,0.560639773,812,seagreen,8
66,SC,Hillary Clinton,271514,0.738831699,2004,seagreen,10
73,VA,Hillary Clinton,503358,0.646271177,356,seagreen,3
0,CA,Bernie Sanders,1502043,0.436307722,397,black,9
5,CO,Bernie Sanders,71928,0.593543702,2025,black,11
7,FL,Bernie Sanders,566603,0.340505997,545,black,4
13,IA,Bernie Sanders,69452,0.496156594,11359,black,12
22,MA,Bernie Sanders,586716,0.489479849,549,black,2
28,NC,Bernie Sanders,460316,0.427525242,493,black,5
34,NH,Bernie Sanders,151584,0.614108153,4767,black,1
42,NV,Bernie Sanders,5641,0.472564296,5877,black,13
48,NY,Bernie Sanders,763469,0.420053457,815,black,7
53,OH,Bernie Sanders,513549,0.43053533,1500,black,6
59,PA,Bernie Sanders,719955,0.439360227,943,black,8
64,SC,Bernie Sanders,95977,0.261168301,1385,black,10
71,VA,Bernie Sanders,275507,0.353728823,7,black,3